condition_name,experiment_type,seed,group,generation,alive_at_end,avg_fitness,best_fitness,genome_diversity,total_food_eaten,total_offspring,avg_energy
mech_md00_ppoff_r05,mechanism_sweep,1000,control,0,2,0.6167,0,0.2905,36,0,99.5
mech_md00_ppoff_r05,mechanism_sweep,1000,control,1,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,1000,control,2,4,0.6569,0,0.2604,92,0,117.0
mech_md00_ppoff_r05,mechanism_sweep,1000,control,3,1,0.6501,0,0.0,22,1,101.0
mech_md00_ppoff_r05,mechanism_sweep,1000,control,4,5,0.6024,0,0.1985,92,5,105.0
mech_md00_ppoff_r05,mechanism_sweep,1000,treatment,0,6,0.6846,0,0.2804,130,3,126.33
mech_md00_ppoff_r05,mechanism_sweep,1000,treatment,1,6,0.6413,0,0.2856,117,4,100.0
mech_md00_ppoff_r05,mechanism_sweep,1000,treatment,2,3,0.768,0,0.2075,58,4,110.0
mech_md00_ppoff_r05,mechanism_sweep,1000,treatment,3,8,0.575,0,0.3373,141,3,115.88
mech_md00_ppoff_r05,mechanism_sweep,1000,treatment,4,24,0.3909,0,0.2324,234,34,95.46
mech_md00_ppoff_r05,mechanism_sweep,1137,control,0,4,0.6478,0,0.3082,83,1,124.0
mech_md00_ppoff_r05,mechanism_sweep,1137,control,1,8,0.6582,0,0.2846,162,3,109.62
mech_md00_ppoff_r05,mechanism_sweep,1137,control,2,2,0.7375,0,0.2362,43,1,119.5
mech_md00_ppoff_r05,mechanism_sweep,1137,control,3,2,0.6401,0,0.2271,42,0,148.5
mech_md00_ppoff_r05,mechanism_sweep,1137,control,4,2,0.654,0,0.1709,41,1,105.0
mech_md00_ppoff_r05,mechanism_sweep,1137,treatment,0,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,1137,treatment,1,2,0.677,0,0.2608,42,0,133.0
mech_md00_ppoff_r05,mechanism_sweep,1137,treatment,2,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,1137,treatment,3,1,0.6328,0,0.0,21,0,125.0
mech_md00_ppoff_r05,mechanism_sweep,1137,treatment,4,2,0.7093,0,0.2345,43,4,117.0
mech_md00_ppoff_r05,mechanism_sweep,1274,control,0,3,0.6672,0,0.2438,56,2,71.67
mech_md00_ppoff_r05,mechanism_sweep,1274,control,1,1,0.7799,0,0.0,20,1,103.0
mech_md00_ppoff_r05,mechanism_sweep,1274,control,2,3,0.4704,0,0.2325,45,1,105.0
mech_md00_ppoff_r05,mechanism_sweep,1274,control,3,5,0.6158,0,0.1527,79,2,106.0
mech_md00_ppoff_r05,mechanism_sweep,1274,control,4,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,1274,treatment,0,9,0.6506,0,0.2936,173,9,106.67
mech_md00_ppoff_r05,mechanism_sweep,1274,treatment,1,11,0.5694,0,0.2413,171,13,106.91
mech_md00_ppoff_r05,mechanism_sweep,1274,treatment,2,19,0.4896,0,0.2071,252,15,100.11
mech_md00_ppoff_r05,mechanism_sweep,1274,treatment,3,3,0.5859,0,0.2682,56,1,101.33
mech_md00_ppoff_r05,mechanism_sweep,1274,treatment,4,1,0.732,0,0.0,21,1,110.0
mech_md00_ppoff_r05,mechanism_sweep,1411,control,0,5,0.6328,0,0.3204,96,1,82.4
mech_md00_ppoff_r05,mechanism_sweep,1411,control,1,4,0.6779,0,0.3459,81,0,100.25
mech_md00_ppoff_r05,mechanism_sweep,1411,control,2,1,0.6305,0,0.0,21,0,115.0
mech_md00_ppoff_r05,mechanism_sweep,1411,control,3,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,1411,control,4,1,0.6073,0,0.0,14,0,94.0
mech_md00_ppoff_r05,mechanism_sweep,1411,treatment,0,3,0.7155,0,0.2762,60,1,121.67
mech_md00_ppoff_r05,mechanism_sweep,1411,treatment,1,5,0.6698,0,0.3007,104,0,112.8
mech_md00_ppoff_r05,mechanism_sweep,1411,treatment,2,4,0.6528,0,0.295,81,0,94.25
mech_md00_ppoff_r05,mechanism_sweep,1411,treatment,3,5,0.6629,0,0.2807,100,0,113.6
mech_md00_ppoff_r05,mechanism_sweep,1411,treatment,4,1,0.6984,0,0.0,20,0,100.0
mech_md00_ppoff_r05,mechanism_sweep,1548,control,0,3,0.653,0,0.2709,66,3,82.0
mech_md00_ppoff_r05,mechanism_sweep,1548,control,1,4,0.61,0,0.2659,77,2,112.5
mech_md00_ppoff_r05,mechanism_sweep,1548,control,2,1,0.6196,0,0.0,21,0,163.0
mech_md00_ppoff_r05,mechanism_sweep,1548,control,3,2,0.6123,0,0.2969,38,0,91.5
mech_md00_ppoff_r05,mechanism_sweep,1548,control,4,1,0.6597,0,0.0,20,0,90.0
mech_md00_ppoff_r05,mechanism_sweep,1548,treatment,0,4,0.6973,0,0.2889,84,2,118.5
mech_md00_ppoff_r05,mechanism_sweep,1548,treatment,1,2,0.6466,0,0.501,31,1,97.5
mech_md00_ppoff_r05,mechanism_sweep,1548,treatment,2,4,0.7915,0,0.3041,87,9,96.0
mech_md00_ppoff_r05,mechanism_sweep,1548,treatment,3,11,0.6676,0,0.1818,197,14,105.09
mech_md00_ppoff_r05,mechanism_sweep,1548,treatment,4,26,0.587,0,0.1999,389,30,111.42
mech_md00_ppoff_r05,mechanism_sweep,1685,control,0,9,0.5849,0,0.2611,161,13,94.44
mech_md00_ppoff_r05,mechanism_sweep,1685,control,1,8,0.52,0,0.2823,122,10,112.38
mech_md00_ppoff_r05,mechanism_sweep,1685,control,2,3,0.6404,0,0.2859,61,4,104.0
mech_md00_ppoff_r05,mechanism_sweep,1685,control,3,22,0.5234,0,0.2203,320,30,113.59
mech_md00_ppoff_r05,mechanism_sweep,1685,control,4,2,0.6221,0,0.0329,42,2,110.0
mech_md00_ppoff_r05,mechanism_sweep,1685,treatment,0,5,0.6136,0,0.3361,91,1,103.4
mech_md00_ppoff_r05,mechanism_sweep,1685,treatment,1,1,0.6585,0,0.0,20,0,90.0
mech_md00_ppoff_r05,mechanism_sweep,1685,treatment,2,4,0.5985,0,0.2058,68,4,125.5
mech_md00_ppoff_r05,mechanism_sweep,1685,treatment,3,1,0.57,0,0.0,16,0,134.0
mech_md00_ppoff_r05,mechanism_sweep,1685,treatment,4,1,0.5975,0,0.0,11,0,77.0
mech_md00_ppoff_r05,mechanism_sweep,1822,control,0,6,0.4931,0,0.3026,86,7,93.33
mech_md00_ppoff_r05,mechanism_sweep,1822,control,1,4,0.514,0,0.2768,69,0,91.25
mech_md00_ppoff_r05,mechanism_sweep,1822,control,2,1,0.5299,0,0.0,20,0,39.0
mech_md00_ppoff_r05,mechanism_sweep,1822,control,3,2,0.4952,0,0.1168,31,2,106.5
mech_md00_ppoff_r05,mechanism_sweep,1822,control,4,1,0.5699,0,0.0,37,0,119.0
mech_md00_ppoff_r05,mechanism_sweep,1822,treatment,0,3,0.5533,0,0.3707,54,1,71.0
mech_md00_ppoff_r05,mechanism_sweep,1822,treatment,1,2,0.637,0,0.3329,39,2,129.0
mech_md00_ppoff_r05,mechanism_sweep,1822,treatment,2,1,0.819,0,0.0,23,2,139.0
mech_md00_ppoff_r05,mechanism_sweep,1822,treatment,3,3,0.6966,0,0.2412,56,1,133.33
mech_md00_ppoff_r05,mechanism_sweep,1822,treatment,4,6,0.6369,0,0.2255,108,7,136.83
mech_md00_ppoff_r05,mechanism_sweep,1959,control,0,6,0.6941,0,0.3686,121,2,117.0
mech_md00_ppoff_r05,mechanism_sweep,1959,control,1,6,0.6827,0,0.3155,128,4,92.5
mech_md00_ppoff_r05,mechanism_sweep,1959,control,2,5,0.6241,0,0.2926,86,2,110.6
mech_md00_ppoff_r05,mechanism_sweep,1959,control,3,15,0.4911,0,0.1667,172,13,107.2
mech_md00_ppoff_r05,mechanism_sweep,1959,control,4,10,0.5294,0,0.1686,135,4,117.8
mech_md00_ppoff_r05,mechanism_sweep,1959,treatment,0,11,0.6413,0,0.2957,194,11,104.64
mech_md00_ppoff_r05,mechanism_sweep,1959,treatment,1,5,0.5406,0,0.3668,76,2,100.2
mech_md00_ppoff_r05,mechanism_sweep,1959,treatment,2,8,0.501,0,0.2427,110,2,103.62
mech_md00_ppoff_r05,mechanism_sweep,1959,treatment,3,2,0.6151,0,0.1827,34,2,104.5
mech_md00_ppoff_r05,mechanism_sweep,1959,treatment,4,24,0.4763,0,0.144,253,30,114.67
mech_md00_ppoff_r05,mechanism_sweep,2096,control,0,6,0.646,0,0.312,119,2,121.0
mech_md00_ppoff_r05,mechanism_sweep,2096,control,1,2,0.5221,0,0.2258,32,0,116.5
mech_md00_ppoff_r05,mechanism_sweep,2096,control,2,4,0.6416,0,0.2455,81,2,108.5
mech_md00_ppoff_r05,mechanism_sweep,2096,control,3,1,0.7051,0,0.0,41,1,60.0
mech_md00_ppoff_r05,mechanism_sweep,2096,control,4,3,0.5813,0,0.3595,60,1,61.0
mech_md00_ppoff_r05,mechanism_sweep,2096,treatment,0,7,0.632,0,0.2794,140,7,105.29
mech_md00_ppoff_r05,mechanism_sweep,2096,treatment,1,3,0.6106,0,0.3185,61,0,96.67
mech_md00_ppoff_r05,mechanism_sweep,2096,treatment,2,9,0.6772,0,0.2791,192,5,117.44
mech_md00_ppoff_r05,mechanism_sweep,2096,treatment,3,5,0.6717,0,0.2873,103,2,101.8
mech_md00_ppoff_r05,mechanism_sweep,2096,treatment,4,4,0.6842,0,0.214,78,4,103.25
mech_md00_ppoff_r05,mechanism_sweep,2233,control,0,3,0.7385,0,0.3217,65,4,115.0
mech_md00_ppoff_r05,mechanism_sweep,2233,control,1,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,2233,control,2,2,0.569,0,0.3142,36,0,108.5
mech_md00_ppoff_r05,mechanism_sweep,2233,control,3,9,0.4806,0,0.0825,92,11,93.67
mech_md00_ppoff_r05,mechanism_sweep,2233,control,4,11,0.529,0,0.2327,124,7,92.18
mech_md00_ppoff_r05,mechanism_sweep,2233,treatment,0,2,0.6594,0,0.2923,40,1,46.0
mech_md00_ppoff_r05,mechanism_sweep,2233,treatment,1,4,0.7142,0,0.3174,83,9,112.75
mech_md00_ppoff_r05,mechanism_sweep,2233,treatment,2,4,0.7264,0,0.1665,74,3,125.0
mech_md00_ppoff_r05,mechanism_sweep,2233,treatment,3,9,0.4977,0,0.1515,106,9,94.78
mech_md00_ppoff_r05,mechanism_sweep,2233,treatment,4,0,0,0,0,0,0,0
mech_md00_ppoff_r05,mechanism_sweep,2370,control,0,6,0.6315,0,0.3552,116,3,105.33
mech_md00_ppoff_r05,mechanism_sweep,2370,control,1,10,0.5958,0,0.312,183,7,87.7
mech_md00_ppoff_r05,mechanism_sweep,2370,control,2,10,0.562,0,0.263,161,9,96.5
