condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
mech_md00_ppoff_r05,mechanism_sweep,1000,adventurousness,0.05,50,50,False,5,1000,,,0.5052200000000001,0.6119600000000001,0.10673999999999995,5,24,False,1970,,242,680,-180.99,0.1985,0.2324,87,77
mech_md00_ppoff_r05,mechanism_sweep,1137,adventurousness,0.05,50,50,False,5,1000,,,0.6675199999999999,0.40381999999999996,-0.26369999999999993,2,2,True,,955,371,106,71.43,0.1709,0.2345,44,35
mech_md00_ppoff_r05,mechanism_sweep,1274,adventurousness,0.05,50,50,False,5,1000,,,0.50666,0.6054999999999999,0.09883999999999993,0,1,False,4740,,200,673,-236.5,0,0.0,84,78
mech_md00_ppoff_r05,mechanism_sweep,1411,adventurousness,0.05,50,50,False,5,1000,,,0.5096999999999999,0.67988,0.1701800000000001,1,1,False,3995,,212,365,-72.17,0.0,0.0,49,43
mech_md00_ppoff_r05,mechanism_sweep,1548,adventurousness,0.05,50,50,False,5,1000,,,0.6309199999999999,0.6779999999999999,0.04708000000000001,1,26,False,,,222,788,-254.95,0.0,0.1999,84,76
mech_md00_ppoff_r05,mechanism_sweep,1685,adventurousness,0.05,50,50,False,5,1000,,,0.57816,0.60762,0.02946000000000004,2,1,False,,,706,206,70.82,0.0329,0.0,57,51
mech_md00_ppoff_r05,mechanism_sweep,1822,adventurousness,0.05,50,50,False,5,1000,,,0.52042,0.66856,0.14814000000000005,1,6,False,,,243,280,-15.23,0.0,0.2255,60,52
mech_md00_ppoff_r05,mechanism_sweep,1959,adventurousness,0.05,50,50,False,5,1000,,,0.6042799999999999,0.55486,-0.04941999999999991,10,24,False,,,642,667,-3.89,0.1686,0.144,101,91
mech_md00_ppoff_r05,mechanism_sweep,2096,adventurousness,0.05,50,50,False,5,1000,,,0.61922,0.6551400000000001,0.03592000000000006,3,4,False,,,333,574,-72.37,0.3595,0.214,53,51
mech_md00_ppoff_r05,mechanism_sweep,2233,adventurousness,0.05,50,50,False,5,1000,,,0.46342,0.51954,0.05612,11,0,True,1978,4975,317,303,4.42,0.2327,0,69,65
mech_md00_ppoff_r05,mechanism_sweep,2370,adventurousness,0.05,50,50,False,5,1000,,,0.6038,0.60188,-0.0019200000000000328,6,7,False,,,644,485,24.69,0.2273,0.2434,61,59
mech_md00_ppoff_r05,mechanism_sweep,2507,adventurousness,0.05,50,50,False,5,1000,,,0.66184,0.6138600000000001,-0.04797999999999991,1,2,False,,,450,370,17.78,0.0,0.0647,62,60
mech_md00_ppoff_r05,mechanism_sweep,2644,adventurousness,0.05,50,50,False,5,1000,,,0.5058400000000001,0.38398,-0.12186000000000008,0,1,True,4900,2956,165,60,63.64,0,0.0,40,36
mech_md00_ppoff_r05,mechanism_sweep,2781,adventurousness,0.05,50,50,False,5,1000,,,0.69938,0.66382,-0.035560000000000036,3,15,False,,,438,925,-111.19,0.3218,0.2785,72,66
mech_md00_ppoff_r05,mechanism_sweep,2918,adventurousness,0.05,50,50,False,5,1000,,,0.51832,0.62568,0.10736000000000001,8,2,False,,,801,314,60.8,0.0966,0.3557,50,44
mech_md00_ppoff_r05,mechanism_sweep,3055,adventurousness,0.05,50,50,False,5,1000,,,0.40568,0.6052799999999999,0.19959999999999994,4,13,False,2969,,422,821,-94.55,0.2716,0.2129,73,68
mech_md00_ppoff_r05,mechanism_sweep,3192,adventurousness,0.05,50,50,False,5,1000,,,0.49184,0.45298,-0.038860000000000006,4,0,True,3000,4850,254,139,45.28,0.113,0,58,55
