condition_name,experiment_type,n_seeds,ctrl_fitness_mean,ctrl_fitness_std,treat_fitness_mean,treat_fitness_std,fitness_impact_mean,fitness_impact_std,fitness_impact_ci95,food_reduction_mean,food_reduction_std,extinction_rate,extinction_step_mean,extinction_step_std
mech_md00_ppoff_r05,mechanism_sweep,30,0.5705,0.0728,0.5503,0.1137,-0.0202,0.1296,0.0464,-25.4404,97.6494,0.3333,3567.3,1414.6855
mech_md00_ppoff_r10,mechanism_sweep,30,0.5705,0.0728,0.5843,0.0879,0.0138,0.0942,0.0337,-39.542,88.6804,0.2333,3289.7143,1261.1202
mech_md00_ppoff_r20,mechanism_sweep,30,0.5705,0.0728,0.6011,0.1026,0.0306,0.1246,0.0446,-106.2999,147.5465,0.1667,2707.4,1298.8134
mech_md00_ppoff_r30,mechanism_sweep,30,0.5705,0.0728,0.6209,0.0412,0.0505,0.084,0.0301,-145.1153,154.0967,0.0333,4963.0,0.0
mech_md00_ppon_r05,mechanism_sweep,30,0.5705,0.0728,0.5721,0.0902,0.0016,0.1127,0.0403,-20.8241,91.3533,0.3,3233.7778,1515.7693
mech_md00_ppon_r10,mechanism_sweep,30,0.5705,0.0728,0.5841,0.0853,0.0136,0.1054,0.0377,-51.6011,92.0402,0.1667,3069.8,1102.1956
mech_md00_ppon_r20,mechanism_sweep,30,0.5705,0.0728,0.6063,0.0644,0.0358,0.0988,0.0354,-135.6932,152.529,0.1,4223.3333,621.1444
mech_md00_ppon_r30,mechanism_sweep,30,0.5705,0.0728,0.6169,0.0468,0.0465,0.0809,0.029,-185.7659,172.8311,0.0333,4863.0,0.0
mech_md25_ppoff_r05,mechanism_sweep,30,0.5705,0.0728,0.5845,0.0772,0.014,0.1081,0.0387,-16.0152,71.3065,0.2,4007.5,1150.58
mech_md25_ppoff_r10,mechanism_sweep,30,0.5705,0.0728,0.5506,0.1273,-0.0198,0.1363,0.0488,-35.2292,114.5992,0.3,3682.0,1184.5676
mech_md25_ppoff_r20,mechanism_sweep,30,0.5705,0.0728,0.6021,0.0538,0.0317,0.0964,0.0345,-97.2982,139.9629,0.0667,3857.5,149.1995
mech_md25_ppoff_r30,mechanism_sweep,30,0.5705,0.0728,0.6145,0.0319,0.044,0.0757,0.0271,-124.5734,139.7756,0.0333,2963.0,0.0
mech_md25_ppon_r05,mechanism_sweep,30,0.5705,0.0728,0.5259,0.1009,-0.0446,0.1254,0.0449,-19.2861,88.0072,0.5333,3815.5625,1245.097
mech_md25_ppon_r10,mechanism_sweep,30,0.5705,0.0728,0.547,0.1176,-0.0235,0.1168,0.0418,-70.0905,179.4224,0.3,3359.7778,1110.2413
mech_md25_ppon_r20,mechanism_sweep,30,0.5705,0.0728,0.5982,0.0626,0.0277,0.0914,0.0327,-121.2399,146.8376,0.0667,3898.0,1.4142
mech_md25_ppon_r30,mechanism_sweep,30,0.5705,0.0728,0.615,0.0353,0.0446,0.0825,0.0295,-180.3363,199.1393,0.0333,4908.0,0.0
mech_md50_ppoff_r05,mechanism_sweep,30,0.5705,0.0728,0.5597,0.0874,-0.0108,0.1189,0.0426,-10.0246,78.6923,0.4333,3807.3846,1003.9507
mech_md50_ppoff_r10,mechanism_sweep,30,0.5705,0.0728,0.5734,0.1102,0.0029,0.1344,0.0481,-18.8645,79.0951,0.3,3640.1111,1300.9808
mech_md50_ppoff_r20,mechanism_sweep,30,0.5705,0.0728,0.599,0.0573,0.0285,0.0814,0.0291,-62.7763,102.2573,0.1,4510.3333,550.738
mech_md50_ppoff_r30,mechanism_sweep,30,0.5705,0.0728,0.6005,0.0629,0.0301,0.095,0.034,-124.7321,163.8595,0.0667,3415.5,723.3702
mech_md50_ppon_r05,mechanism_sweep,30,0.5705,0.0728,0.5572,0.0935,-0.0133,0.1211,0.0433,-22.5653,92.7257,0.3333,3791.0,1195.8724
mech_md50_ppon_r10,mechanism_sweep,30,0.5705,0.0728,0.567,0.1136,-0.0035,0.1261,0.0451,-46.0341,99.1782,0.1667,2481.2,1571.0725
mech_md50_ppon_r20,mechanism_sweep,30,0.5705,0.0728,0.5925,0.0584,0.0221,0.0861,0.0308,-101.5639,132.1729,0.1,4585.0,631.6653
mech_md50_ppon_r30,mechanism_sweep,30,0.5705,0.0728,0.5966,0.0366,0.0261,0.066,0.0236,-172.4701,165.8748,0.0,,
mech_md75_ppoff_r05,mechanism_sweep,30,0.5705,0.0728,0.566,0.0677,-0.0045,0.0994,0.0356,-28.2772,109.986,0.3333,3354.1,1617.9108
mech_md75_ppoff_r10,mechanism_sweep,30,0.5705,0.0728,0.5442,0.14,-0.0263,0.1663,0.0595,-2.6468,77.574,0.3667,3499.0909,1308.8255
mech_md75_ppoff_r20,mechanism_sweep,30,0.5705,0.0728,0.5659,0.0798,-0.0046,0.1071,0.0383,-61.6927,111.2982,0.2,4081.5,747.1725
mech_md75_ppoff_r30,mechanism_sweep,30,0.5705,0.0728,0.581,0.0514,0.0105,0.0908,0.0325,-75.8748,110.9081,0.0333,3985.0,0.0
mech_md75_ppon_r05,mechanism_sweep,30,0.5705,0.0728,0.5422,0.1133,-0.0283,0.129,0.0462,-39.7913,134.4093,0.3667,3563.0909,1171.0774
mech_md75_ppon_r10,mechanism_sweep,30,0.5705,0.0728,0.5644,0.0576,-0.0061,0.0807,0.0289,-51.3617,103.0533,0.2333,3912.5714,799.2794
mech_md75_ppon_r20,mechanism_sweep,30,0.5705,0.0728,0.5787,0.0517,0.0082,0.0858,0.0307,-71.1633,87.3004,0.0333,2904.0,0.0
mech_md75_ppon_r30,mechanism_sweep,30,0.5705,0.0728,0.581,0.0567,0.0105,0.0844,0.0302,-143.8485,145.7482,0.0333,3776.0,0.0
