metabolism_discount,predator_protection,isolation_ratio,n_seeds,fitness_impact_mean,fitness_impact_ci95,extinction_rate,cohens_d_treat_vs_ctrl,km_median_survival,ttest_p,significant_005,ctrl_fitness_mean,treat_fitness_mean
0.0,True,0.05,30,0.001604,0.040312,0.3,0.0196,,0.939873,False,0.570482,0.572086
0.0,True,0.1,30,0.013607,0.037725,0.1667,0.1716,,0.50912,False,0.570482,0.584089
0.0,True,0.2,30,0.035829,0.035358,0.1,0.5211,,0.048264,True,0.570482,0.606311
0.0,True,0.3,30,0.046467,0.028961,0.0333,0.7588,,0.004991,True,0.570482,0.616949
0.0,False,0.05,30,-0.020181,0.04637,0.3333,-0.2114,,0.416889,False,0.570482,0.550301
0.0,False,0.1,30,0.013772,0.033722,0.2333,0.1706,,0.511526,False,0.570482,0.584254
0.0,False,0.2,30,0.030606,0.044584,0.1667,0.344,,0.188496,False,0.570482,0.601088
0.0,False,0.3,30,0.050453,0.030069,0.0333,0.8527,,0.001864,True,0.570482,0.620935
0.25,True,0.05,30,-0.044559,0.044859,0.5333,-0.5064,4922,0.055156,False,0.570482,0.525923
0.25,True,0.1,30,-0.023513,0.041801,0.3,-0.2404,,0.356457,False,0.570482,0.546969
0.25,True,0.2,30,0.027673,0.0327,0.0667,0.4073,,0.120209,False,0.570482,0.598155
0.25,True,0.3,30,0.044559,0.029516,0.0333,0.7787,,0.00434,True,0.570482,0.615041
0.25,False,0.05,30,0.014037,0.03868,0.2,0.187,,0.471824,False,0.570482,0.584519
0.25,False,0.1,30,-0.019833,0.048769,0.3,-0.1912,,0.462656,False,0.570482,0.550649
0.25,False,0.2,30,0.031657,0.034496,0.0667,0.4945,,0.060847,False,0.570482,0.602139
0.25,False,0.3,30,0.044017,0.027098,0.0333,0.783,,0.004259,True,0.570482,0.614499
0.5,True,0.05,30,-0.013261,0.043332,0.3333,-0.1582,,0.542543,False,0.570482,0.557221
0.5,True,0.1,30,-0.003455,0.045127,0.1667,-0.0362,,0.88903,False,0.570482,0.567027
0.5,True,0.2,30,0.022057,0.0308,0.1,0.3341,,0.201034,False,0.570482,0.592539
0.5,True,0.3,30,0.026142,0.023616,0.0,0.4534,,0.086218,False,0.570482,0.596624
0.5,False,0.05,30,-0.010824,0.04256,0.4333,-0.1346,,0.604236,False,0.570482,0.559658
0.5,False,0.1,30,0.002886,0.048094,0.3,0.0309,,0.905231,False,0.570482,0.573368
0.5,False,0.2,30,0.028469,0.02914,0.1,0.4343,,0.098214,False,0.570482,0.598951
0.5,False,0.3,30,0.030056,0.033995,0.0667,0.4417,,0.092574,False,0.570482,0.600538
0.75,True,0.05,30,-0.028311,0.046173,0.3667,-0.2973,,0.255029,False,0.570482,0.542171
0.75,True,0.1,30,-0.006051,0.028891,0.2333,-0.0921,,0.722546,False,0.570482,0.564431
0.75,True,0.2,30,0.008175,0.03069,0.0333,0.1294,,0.618278,False,0.570482,0.578657
0.75,True,0.3,30,0.010502,0.030216,0.0333,0.1609,,0.535828,False,0.570482,0.580984
0.75,False,0.05,30,-0.004503,0.035573,0.3333,-0.0641,,0.80494,False,0.570482,0.565979
0.75,False,0.1,30,-0.026287,0.0595,0.3667,-0.2356,,0.366486,False,0.570482,0.544195
0.75,False,0.2,30,-0.004577,0.038315,0.2,-0.0599,,0.817296,False,0.570482,0.565905
0.75,False,0.3,30,0.010491,0.032489,0.0333,0.1664,,0.522111,False,0.570482,0.580973
