condition_name,experiment_type,seed,group,generation,alive_at_end,avg_fitness,best_fitness,genome_diversity,total_food_eaten,total_offspring,avg_energy
ratio_10pct,ratio_sweep,1000,control,0,2,0.6915,0,0.3606,101,0,110.0
ratio_10pct,ratio_sweep,1000,control,1,1,0.5665,0,0.0,47,0,40.0
ratio_10pct,ratio_sweep,1000,control,2,4,0.6602,0,0.2881,126,3,106.5
ratio_10pct,ratio_sweep,1000,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1000,control,4,2,0.6379,0,0.2367,81,1,56.0
ratio_10pct,ratio_sweep,1000,treatment,0,1,0.6609,0,0.0,44,0,105.0
ratio_10pct,ratio_sweep,1000,treatment,1,4,0.5781,0,0.3708,148,0,53.25
ratio_10pct,ratio_sweep,1000,treatment,2,1,0.608,0,0.0,51,1,20.0
ratio_10pct,ratio_sweep,1000,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1000,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1137,control,0,1,0.697,0,0.0,47,0,40.0
ratio_10pct,ratio_sweep,1137,control,1,1,0.6773,0,0.0,46,0,20.0
ratio_10pct,ratio_sweep,1137,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1137,control,3,1,0.7195,0,0.0,49,0,80.0
ratio_10pct,ratio_sweep,1137,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1137,treatment,0,2,0.6955,0,0.4732,94,0,115.0
ratio_10pct,ratio_sweep,1137,treatment,1,1,0.7173,0,0.0,45,0,100.0
ratio_10pct,ratio_sweep,1137,treatment,2,2,0.6852,0,0.0116,93,0,92.5
ratio_10pct,ratio_sweep,1137,treatment,3,1,0.6781,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,1137,treatment,4,1,0.6481,0,0.0,47,0,40.0
ratio_10pct,ratio_sweep,1274,control,0,3,0.6735,0,0.3471,150,1,86.67
ratio_10pct,ratio_sweep,1274,control,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1274,control,2,1,0.7391,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,1274,control,3,1,0.7491,0,0.0,51,0,120.0
ratio_10pct,ratio_sweep,1274,control,4,1,0.7391,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,1274,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1274,treatment,1,1,0.6388,0,0.0,42,0,65.0
ratio_10pct,ratio_sweep,1274,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1274,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1274,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1411,control,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1411,control,1,1,0.6386,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,1411,control,2,2,0.6479,0,0.2781,100,0,100.0
ratio_10pct,ratio_sweep,1411,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1411,control,4,1,0.6743,0,0.0,44,0,141.0
ratio_10pct,ratio_sweep,1411,treatment,0,2,0.6403,0,0.3621,101,1,90.0
ratio_10pct,ratio_sweep,1411,treatment,1,4,0.7046,0,0.333,180,1,94.25
ratio_10pct,ratio_sweep,1411,treatment,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1411,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1411,treatment,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,control,0,1,0.5831,0,0.0,50,0,100.0
ratio_10pct,ratio_sweep,1548,control,1,3,0.7228,0,0.34,153,3,80.0
ratio_10pct,ratio_sweep,1548,control,2,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,control,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,control,4,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,treatment,0,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,treatment,1,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,treatment,2,3,0.6107,0,0.3836,130,0,56.67
ratio_10pct,ratio_sweep,1548,treatment,3,0,0,0,0,0,0,0
ratio_10pct,ratio_sweep,1548,treatment,4,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1000,control,0,2,0.6915,0,0.3606,101,0,110.0
ratio_20pct,ratio_sweep,1000,control,1,1,0.5665,0,0.0,47,0,40.0
ratio_20pct,ratio_sweep,1000,control,2,4,0.6602,0,0.2881,126,3,106.5
ratio_20pct,ratio_sweep,1000,control,3,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1000,control,4,2,0.6379,0,0.2367,81,1,56.0
ratio_20pct,ratio_sweep,1000,treatment,0,4,0.5913,0,0.265,167,0,70.0
ratio_20pct,ratio_sweep,1000,treatment,1,2,0.6283,0,0.3016,83,0,105.0
ratio_20pct,ratio_sweep,1000,treatment,2,6,0.6586,0,0.28,272,2,87.5
ratio_20pct,ratio_sweep,1000,treatment,3,1,0.6143,0,0.0,32,0,88.0
ratio_20pct,ratio_sweep,1000,treatment,4,1,0.6527,0,0.0,40,0,75.0
ratio_20pct,ratio_sweep,1137,control,0,1,0.697,0,0.0,47,0,40.0
ratio_20pct,ratio_sweep,1137,control,1,1,0.6773,0,0.0,46,0,20.0
ratio_20pct,ratio_sweep,1137,control,2,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1137,control,3,1,0.7195,0,0.0,49,0,80.0
ratio_20pct,ratio_sweep,1137,control,4,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1137,treatment,0,1,0.7198,0,0.0,39,0,105.0
ratio_20pct,ratio_sweep,1137,treatment,1,1,0.6686,0,0.0,51,0,120.0
ratio_20pct,ratio_sweep,1137,treatment,2,2,0.6778,0,0.4228,90,0,70.0
ratio_20pct,ratio_sweep,1137,treatment,3,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1137,treatment,4,1,0.7416,0,0.0,44,0,105.0
ratio_20pct,ratio_sweep,1274,control,0,3,0.6735,0,0.3471,150,1,86.67
ratio_20pct,ratio_sweep,1274,control,1,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1274,control,2,1,0.7391,0,0.0,50,0,100.0
ratio_20pct,ratio_sweep,1274,control,3,1,0.7491,0,0.0,51,0,120.0
ratio_20pct,ratio_sweep,1274,control,4,1,0.7391,0,0.0,50,0,100.0
ratio_20pct,ratio_sweep,1274,treatment,0,5,0.6056,0,0.3267,206,1,79.2
ratio_20pct,ratio_sweep,1274,treatment,1,1,0.6588,0,0.0,42,0,105.0
ratio_20pct,ratio_sweep,1274,treatment,2,1,0.6613,0,0.0,50,0,100.0
ratio_20pct,ratio_sweep,1274,treatment,3,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1274,treatment,4,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1411,control,0,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1411,control,1,1,0.6386,0,0.0,50,0,100.0
ratio_20pct,ratio_sweep,1411,control,2,2,0.6479,0,0.2781,100,0,100.0
ratio_20pct,ratio_sweep,1411,control,3,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1411,control,4,1,0.6743,0,0.0,44,0,141.0
ratio_20pct,ratio_sweep,1411,treatment,0,2,0.6017,0,0.2365,89,0,90.0
ratio_20pct,ratio_sweep,1411,treatment,1,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1411,treatment,2,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1411,treatment,3,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1411,treatment,4,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1548,control,0,1,0.5831,0,0.0,50,0,100.0
ratio_20pct,ratio_sweep,1548,control,1,3,0.7228,0,0.34,153,3,80.0
ratio_20pct,ratio_sweep,1548,control,2,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1548,control,3,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1548,control,4,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1548,treatment,0,3,0.6102,0,0.2255,130,0,91.67
ratio_20pct,ratio_sweep,1548,treatment,1,4,0.641,0,0.265,155,0,88.0
ratio_20pct,ratio_sweep,1548,treatment,2,0,0,0,0,0,0,0
ratio_20pct,ratio_sweep,1548,treatment,3,1,0.7742,0,0.0,48,1,45.0
ratio_20pct,ratio_sweep,1548,treatment,4,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1000,control,0,2,0.6915,0,0.3606,101,0,110.0
ratio_30pct,ratio_sweep,1000,control,1,1,0.5665,0,0.0,47,0,40.0
ratio_30pct,ratio_sweep,1000,control,2,4,0.6602,0,0.2881,126,3,106.5
ratio_30pct,ratio_sweep,1000,control,3,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1000,control,4,2,0.6379,0,0.2367,81,1,56.0
ratio_30pct,ratio_sweep,1000,treatment,0,7,0.6502,0,0.3151,311,1,100.0
ratio_30pct,ratio_sweep,1000,treatment,1,6,0.7063,0,0.3547,272,5,106.67
ratio_30pct,ratio_sweep,1000,treatment,2,7,0.7265,0,0.2387,307,3,104.71
ratio_30pct,ratio_sweep,1000,treatment,3,6,0.7261,0,0.1886,260,1,97.5
ratio_30pct,ratio_sweep,1000,treatment,4,9,0.7156,0,0.2171,342,8,95.22
ratio_30pct,ratio_sweep,1137,control,0,1,0.697,0,0.0,47,0,40.0
ratio_30pct,ratio_sweep,1137,control,1,1,0.6773,0,0.0,46,0,20.0
ratio_30pct,ratio_sweep,1137,control,2,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1137,control,3,1,0.7195,0,0.0,49,0,80.0
ratio_30pct,ratio_sweep,1137,control,4,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1137,treatment,0,6,0.6567,0,0.3762,261,0,103.5
ratio_30pct,ratio_sweep,1137,treatment,1,3,0.6259,0,0.1401,128,0,95.0
ratio_30pct,ratio_sweep,1137,treatment,2,1,0.5889,0,0.0,41,0,95.0
ratio_30pct,ratio_sweep,1137,treatment,3,2,0.5927,0,0.123,89,0,102.5
ratio_30pct,ratio_sweep,1137,treatment,4,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1274,control,0,3,0.6735,0,0.3471,150,1,86.67
ratio_30pct,ratio_sweep,1274,control,1,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1274,control,2,1,0.7391,0,0.0,50,0,100.0
ratio_30pct,ratio_sweep,1274,control,3,1,0.7491,0,0.0,51,0,120.0
ratio_30pct,ratio_sweep,1274,control,4,1,0.7391,0,0.0,50,0,100.0
ratio_30pct,ratio_sweep,1274,treatment,0,2,0.5881,0,0.3419,87,1,25.0
ratio_30pct,ratio_sweep,1274,treatment,1,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1274,treatment,2,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1274,treatment,3,1,0.6579,0,0.0,48,0,185.0
ratio_30pct,ratio_sweep,1274,treatment,4,1,0.6204,0,0.0,48,0,110.0
ratio_30pct,ratio_sweep,1411,control,0,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1411,control,1,1,0.6386,0,0.0,50,0,100.0
ratio_30pct,ratio_sweep,1411,control,2,2,0.6479,0,0.2781,100,0,100.0
ratio_30pct,ratio_sweep,1411,control,3,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1411,control,4,1,0.6743,0,0.0,44,0,141.0
ratio_30pct,ratio_sweep,1411,treatment,0,11,0.6029,0,0.3209,409,4,89.0
ratio_30pct,ratio_sweep,1411,treatment,1,5,0.6888,0,0.3193,230,2,98.0
ratio_30pct,ratio_sweep,1411,treatment,2,1,0.6881,0,0.0,47,0,45.0
ratio_30pct,ratio_sweep,1411,treatment,3,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1411,treatment,4,7,0.7012,0,0.2491,257,6,85.14
ratio_30pct,ratio_sweep,1548,control,0,1,0.5831,0,0.0,50,0,100.0
ratio_30pct,ratio_sweep,1548,control,1,3,0.7228,0,0.34,153,3,80.0
ratio_30pct,ratio_sweep,1548,control,2,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1548,control,3,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1548,control,4,0,0,0,0,0,0,0
ratio_30pct,ratio_sweep,1548,treatment,0,6,0.6533,0,0.3339,238,0,103.17
ratio_30pct,ratio_sweep,1548,treatment,1,3,0.6185,0,0.2513,102,0,66.0
ratio_30pct,ratio_sweep,1548,treatment,2,5,0.6299,0,0.2842,184,1,105.6
ratio_30pct,ratio_sweep,1548,treatment,3,4,0.6563,0,0.2812,175,0,94.5
