condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_10pct,ratio_sweep,1000,adventurousness,0.1,50,50,False,5,1000,,,0.51122,0.3694,-0.14182,2,0,True,3974,3986,355,243,31.55,0.2367,0,128,127
ratio_10pct,ratio_sweep,1137,adventurousness,0.1,50,50,False,5,1000,,,0.41875999999999997,0.68484,0.26608000000000004,0,1,False,2870,,142,329,-131.69,0,0.0,102,95
ratio_10pct,ratio_sweep,1274,adventurousness,0.1,50,50,False,5,1000,,,0.58016,0.12776,-0.4524,1,0,True,1740,872,301,42,86.05,0.0,0,107,105
ratio_10pct,ratio_sweep,1411,adventurousness,0.1,50,50,False,5,1000,,,0.39215999999999995,0.26898,-0.12317999999999996,1,0,True,860,2830,194,281,-44.85,0.0,0,126,126
ratio_10pct,ratio_sweep,1548,adventurousness,0.1,50,50,False,5,1000,,,0.26117999999999997,0.12214,-0.13903999999999997,0,0,True,3000,857,203,130,35.96,0,0,121,119
ratio_20pct,ratio_sweep,1000,adventurousness,0.2,50,50,False,5,1000,,,0.51122,0.62904,0.11782000000000004,2,1,False,3974,,355,594,-67.32,0.2367,0.0,328,319
ratio_20pct,ratio_sweep,1137,adventurousness,0.2,50,50,False,5,1000,,,0.41875999999999997,0.56156,0.14279999999999998,0,1,True,2870,3878,142,224,-57.75,0,0.0,267,253
ratio_20pct,ratio_sweep,1274,adventurousness,0.2,50,50,False,5,1000,,,0.58016,0.38514000000000004,-0.19501999999999997,1,0,True,1740,3937,301,298,1.0,0.0,0,245,226
ratio_20pct,ratio_sweep,1411,adventurousness,0.2,50,50,False,5,1000,,,0.39215999999999995,0.12034,-0.27181999999999995,1,0,True,860,1957,194,89,54.12,0.0,0,251,247
ratio_20pct,ratio_sweep,1548,adventurousness,0.2,50,50,False,5,1000,,,0.26117999999999997,0.40508,0.14390000000000003,0,0,True,3000,2984,203,333,-64.04,0,0,291,284
ratio_30pct,ratio_sweep,1000,adventurousness,0.3,50,50,False,5,1000,,,0.51122,0.70494,0.19372,2,9,False,3974,,355,1492,-320.28,0.2367,0.2171,571,551
ratio_30pct,ratio_sweep,1137,adventurousness,0.3,50,50,False,5,1000,,,0.41875999999999997,0.49284,0.07408000000000003,0,0,True,2870,4816,142,519,-265.49,0,0,418,390
ratio_30pct,ratio_sweep,1274,adventurousness,0.3,50,50,False,5,1000,,,0.58016,0.37328,-0.20688,1,1,True,1740,1725,301,183,39.2,0.0,0.0,331,309
ratio_30pct,ratio_sweep,1411,adventurousness,0.3,50,50,False,5,1000,,,0.39215999999999995,0.5362,0.14404000000000006,1,7,True,860,3985,194,943,-386.08,0.0,0.2491,547,523
ratio_30pct,ratio_sweep,1548,adventurousness,0.3,50,50,False,5,1000,,,0.26117999999999997,0.6100199999999999,0.34883999999999993,0,9,False,3000,,203,904,-345.32,0,0.0601,489,466
ratio_5pct,ratio_sweep,1000,adventurousness,0.05,50,50,False,5,1000,,,0.51122,0.358,-0.15322000000000002,2,0,True,3974,2841,355,195,45.07,0.2367,0,36,33
ratio_5pct,ratio_sweep,1137,adventurousness,0.05,50,50,False,5,1000,,,0.41875999999999997,0.12054000000000001,-0.29821999999999993,0,0,True,2870,715,142,47,66.9,0,0,37,37
ratio_5pct,ratio_sweep,1274,adventurousness,0.05,50,50,False,5,1000,,,0.58016,0.23996000000000003,-0.34019999999999995,1,0,True,1740,2620,301,146,51.5,0.0,0,40,37
ratio_5pct,ratio_sweep,1411,adventurousness,0.05,50,50,False,5,1000,,,0.39215999999999995,0.25634,-0.13581999999999994,1,1,True,860,1880,194,125,35.57,0.0,0.0,46,44
ratio_5pct,ratio_sweep,1548,adventurousness,0.05,50,50,False,5,1000,,,0.26117999999999997,0.3512,0.09002000000000004,0,0,True,3000,3480,203,197,2.96,0,0,33,30
