condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_10pct,ratio_sweep,1000,adventurousness,0.1,50,50,False,5,1000,,,0.51122,0.3694,-0.14182,2,0,True,3974,3986,355,243,31.55,0.2367,0,128,127
ratio_10pct,ratio_sweep,1137,adventurousness,0.1,50,50,False,5,1000,,,0.41875999999999997,0.68484,0.26608000000000004,0,1,False,2870,,142,329,-131.69,0,0.0,102,95
ratio_10pct,ratio_sweep,1274,adventurousness,0.1,50,50,False,5,1000,,,0.58016,0.12776,-0.4524,1,0,True,1740,872,301,42,86.05,0.0,0,107,105
ratio_10pct,ratio_sweep,1411,adventurousness,0.1,50,50,False,5,1000,,,0.39215999999999995,0.26898,-0.12317999999999996,1,0,True,860,2830,194,281,-44.85,0.0,0,126,126
ratio_10pct,ratio_sweep,1548,adventurousness,0.1,50,50,False,5,1000,,,0.26117999999999997,0.12214,-0.13903999999999997,0,0,True,3000,857,203,130,35.96,0,0,121,119
ratio_10pct,ratio_sweep,1685,adventurousness,0.1,50,50,False,5,1000,,,0.39538,0.12642,-0.26896,0,0,True,3960,1960,147,46,68.71,0,0,87,84
ratio_10pct,ratio_sweep,1822,adventurousness,0.1,50,50,False,5,1000,,,0.13324,0.17294,0.03970000000000001,0,0,True,993,1993,50,149,-198.0,0,0,107,101
ratio_10pct,ratio_sweep,1959,adventurousness,0.1,50,50,False,5,1000,,,0.40269999999999995,0.6493,0.24660000000000004,0,2,False,1760,,310,531,-71.29,0,0.3365,131,130
ratio_10pct,ratio_sweep,2096,adventurousness,0.1,50,50,False,5,1000,,,0.1356,0.50614,0.37054000000000004,0,1,True,1660,1886,103,188,-82.52,0,0.0,90,85
ratio_10pct,ratio_sweep,2233,adventurousness,0.1,50,50,False,5,1000,,,0.13782,0.52376,0.38594,0,0,True,1672,4750,52,226,-334.62,0,0,126,121
ratio_10pct,ratio_sweep,2370,adventurousness,0.1,50,50,False,5,1000,,,0.24778000000000003,0.6511600000000001,0.40338000000000007,0,2,False,2000,,148,341,-130.41,0,0.2841,98,93
ratio_10pct,ratio_sweep,2507,adventurousness,0.1,50,50,False,5,1000,,,0.1326,0.36507999999999996,0.23247999999999996,0,0,True,1880,900,50,180,-260.0,0,0,120,116
ratio_10pct,ratio_sweep,2644,adventurousness,0.1,50,50,False,5,1000,,,0.23815999999999998,0.50894,0.27077999999999997,0,0,True,2580,4777,99,343,-246.46,0,0,118,116
ratio_10pct,ratio_sweep,2781,adventurousness,0.1,50,50,False,5,1000,,,0.25398,0.14476,-0.10921999999999998,0,0,True,2846,1990,100,93,7.0,0,0,89,83
ratio_10pct,ratio_sweep,2918,adventurousness,0.1,50,50,False,5,1000,,,0.13455999999999999,0.1233,-0.011259999999999978,0,0,True,1500,948,152,50,67.11,0,0,81,72
