condition_name,experiment_type,seed,selection_criteria,isolation_fraction,isolation_duration,isolation_frequency,no_return,num_generations,steps_per_generation,food_initial,food_max,ctrl_avg_fitness,treat_avg_fitness,fitness_impact,ctrl_alive_final,treat_alive_final,treat_extinct,ctrl_extinction_step,treat_extinction_step,ctrl_total_food,treat_total_food,food_reduction_pct,ctrl_diversity_final,treat_diversity_final,total_isolations,total_returns
ratio_10pct,ratio_sweep,1000,adventurousness,0.1,100,5,False,5,1000,,,0.51122,0.0,-0.51122,2,0,True,3974,440,355,0,100.0,0.2367,0,410,208
ratio_10pct,ratio_sweep,1137,adventurousness,0.1,100,5,False,5,1000,,,0.41875999999999997,0.0,-0.41875999999999997,0,0,True,2870,420,142,0,100.0,0,0,347,163
ratio_10pct,ratio_sweep,1274,adventurousness,0.1,100,5,False,5,1000,,,0.58016,0.0,-0.58016,1,0,True,1740,400,301,0,100.0,0.0,0,337,137
ratio_10pct,ratio_sweep,1411,adventurousness,0.1,100,5,False,5,1000,,,0.12625999999999998,0.0,-0.12625999999999998,0,0,True,860,690,50,0,100.0,0,0,390,188
ratio_10pct,ratio_sweep,1548,adventurousness,0.1,100,5,False,5,1000,,,0.26117999999999997,0.0,-0.26117999999999997,0,0,True,3000,523,203,0,100.0,0,0,337,140
ratio_10pct,ratio_sweep,1685,adventurousness,0.1,100,5,False,5,1000,,,0.39538,0.0,-0.39538,0,0,True,3960,460,147,0,100.0,0,0,362,175
ratio_10pct,ratio_sweep,1822,adventurousness,0.1,100,5,False,5,1000,,,0.2827,0.0,-0.2827,0,0,True,993,580,135,0,100.0,0,0,353,175
ratio_10pct,ratio_sweep,1959,adventurousness,0.1,100,5,False,5,1000,,,0.40269999999999995,0.0,-0.40269999999999995,0,0,True,1760,420,310,0,100.0,0,0,373,179
ratio_10pct,ratio_sweep,2096,adventurousness,0.1,100,5,False,5,1000,,,0.1356,0.11113999999999999,-0.02446000000000001,0,0,True,1660,360,103,46,55.34,0,0,342,168
ratio_10pct,ratio_sweep,2233,adventurousness,0.1,100,5,False,5,1000,,,0.13782,0.0,-0.13782,0,0,True,1672,420,52,0,100.0,0,0,401,227
ratio_10pct,ratio_sweep,2370,adventurousness,0.1,100,5,False,5,1000,,,0.24778000000000003,0.0,-0.24778000000000003,0,0,True,2000,480,148,0,100.0,0,0,395,188
ratio_10pct,ratio_sweep,2507,adventurousness,0.1,100,5,False,5,1000,,,0.1326,0.0,-0.1326,0,0,True,1880,640,50,0,100.0,0,0,408,201
ratio_10pct,ratio_sweep,2644,adventurousness,0.1,100,5,False,5,1000,,,0.23815999999999998,0.0,-0.23815999999999998,0,0,True,2580,570,99,0,100.0,0,0,350,143
ratio_10pct,ratio_sweep,2781,adventurousness,0.1,100,5,False,5,1000,,,0.25398,0.0,-0.25398,0,0,True,2846,429,100,0,100.0,0,0,359,160
ratio_10pct,ratio_sweep,2918,adventurousness,0.1,100,5,False,5,1000,,,0.13455999999999999,0.0,-0.13455999999999999,0,0,True,1500,540,152,0,100.0,0,0,374,191
ratio_10pct,ratio_sweep,3055,adventurousness,0.1,100,5,False,5,1000,,,0.15808,0.0,-0.15808,0,0,True,1829,420,50,0,100.0,0,0,357,155
ratio_10pct,ratio_sweep,3192,adventurousness,0.1,100,5,False,5,1000,,,0.0,0.0,0.0,0,0,True,520,440,0,0,0.0,0,0,408,227
ratio_10pct,ratio_sweep,3329,adventurousness,0.1,100,5,False,5,1000,,,0.35402000000000006,0.0,-0.35402000000000006,0,0,True,3720,420,287,0,100.0,0,0,384,205
ratio_10pct,ratio_sweep,3466,adventurousness,0.1,100,5,False,5,1000,,,0.65642,0.0,-0.65642,1,0,True,,540,400,0,100.0,0.0,0,360,157
ratio_10pct,ratio_sweep,3603,adventurousness,0.1,100,5,False,5,1000,,,0.38339999999999996,0.0,-0.38339999999999996,1,0,True,940,440,195,0,100.0,0.0,0,378,186
ratio_10pct,ratio_sweep,3740,adventurousness,0.1,100,5,False,5,1000,,,0.37177999999999994,0.0,-0.37177999999999994,0,0,True,3820,600,252,0,100.0,0,0,378,178
ratio_10pct,ratio_sweep,3877,adventurousness,0.1,100,5,False,5,1000,,,0.1394,0.0,-0.1394,0,0,True,720,343,50,0,100.0,0,0,387,200
ratio_10pct,ratio_sweep,4014,adventurousness,0.1,100,5,False,5,1000,,,0.14514,0.0,-0.14514,0,0,True,892,500,49,0,100.0,0,0,386,180
ratio_10pct,ratio_sweep,4151,adventurousness,0.1,100,5,False,5,1000,,,0.11532,0.0,-0.11532,0,0,True,980,760,50,0,100.0,0,0,414,221
ratio_10pct,ratio_sweep,4288,adventurousness,0.1,100,5,False,5,1000,,,0.38888,0.0,-0.38888,0,0,True,700,420,188,0,100.0,0,0,370,176
ratio_10pct,ratio_sweep,4425,adventurousness,0.1,100,5,False,5,1000,,,0.12536,0.0,-0.12536,0,0,True,1630,380,49,0,100.0,0,0,329,135
ratio_10pct,ratio_sweep,4562,adventurousness,0.1,100,5,False,5,1000,,,0.142,0.0,-0.142,0,0,True,1768,420,49,0,100.0,0,0,391,209
ratio_10pct,ratio_sweep,4699,adventurousness,0.1,100,5,False,5,1000,,,0.57328,0.0,-0.57328,3,0,True,2880,472,347,0,100.0,0.1148,0,388,206
ratio_10pct,ratio_sweep,4836,adventurousness,0.1,100,5,False,5,1000,,,0.11472,0.0,-0.11472,0,0,True,1834,420,49,0,100.0,0,0,417,222
ratio_10pct,ratio_sweep,4973,adventurousness,0.1,100,5,False,5,1000,,,0.25726,0.0,-0.25726,0,0,True,1840,620,162,0,100.0,0,0,387,187
ratio_20pct,ratio_sweep,1000,adventurousness,0.2,100,5,False,5,1000,,,0.51122,0.0,-0.51122,2,0,True,3974,360,355,0,100.0,0.2367,0,433,221
ratio_20pct,ratio_sweep,1137,adventurousness,0.2,100,5,False,5,1000,,,0.41875999999999997,0.0,-0.41875999999999997,0,0,True,2870,360,142,0,100.0,0,0,415,206
ratio_20pct,ratio_sweep,1274,adventurousness,0.2,100,5,False,5,1000,,,0.58016,0.0,-0.58016,1,0,True,1740,356,301,0,100.0,0.0,0,407,186
ratio_20pct,ratio_sweep,1411,adventurousness,0.2,100,5,False,5,1000,,,0.12625999999999998,0.0,-0.12625999999999998,0,0,True,860,320,50,0,100.0,0,0,409,190
ratio_20pct,ratio_sweep,1548,adventurousness,0.2,100,5,False,5,1000,,,0.26117999999999997,0.0,-0.26117999999999997,0,0,True,3000,360,203,0,100.0,0,0,432,224
ratio_20pct,ratio_sweep,1685,adventurousness,0.2,100,5,False,5,1000,,,0.39538,0.0,-0.39538,0,0,True,3960,370,147,0,100.0,0,0,390,173
